iter	RMSE
0	4256.182841
1	3967.78425
2	3717.647638
3	3486.986151
4	3285.683281
5	3101.829504
6	2941.563554
7	2801.960996
8	2678.267499
9	2568.232304
10	2472.405574
11	2388.172871
12	2313.835971
13	2250.439424
14	2193.893655
15	2139.495993
16	2097.946507
17	2053.825503
18	2017.965154
19	1990.400745
20	1962.989377
21	1940.307161
22	1917.319668
23	1895.758247
24	1874.743651
25	1857.030738
26	1841.829873
27	1828.206862
28	1815.454427
29	1804.527904
30	1793.963387
31	1783.640166
32	1775.460337
33	1768.101741
34	1761.094001
35	1755.680364
36	1748.227733
37	1741.668438
38	1735.591012
39	1731.454387
40	1727.414448
41	1722.196382
42	1718.890022
43	1716.244891
44	1713.389258
45	1710.401326
46	1707.893314
47	1705.477428
48	1702.596207
49	1699.465576
50	1696.301337
51	1693.766996
52	1691.510039
53	1688.556509
54	1686.591288
55	1684.856259
56	1682.628194
57	1679.268792
58	1676.977279
59	1674.030206
60	1672.595126
61	1670.927837
62	1668.039946
63	1665.832892
64	1664.344698
65	1661.31772
66	1658.495925
67	1656.777886
68	1654.263261
69	1652.564884
70	1651.325472
71	1650.025844
72	1648.021535
73	1646.391446
74	1644.42387
75	1643.469688
76	1641.699919
77	1639.467585
78	1638.151694
79	1636.357233
80	1634.924806
81	1632.817183
82	1631.365218
83	1630.295769
84	1628.266037
85	1627.070989
86	1624.733061
87	1623.548971
88	1622.724213
89	1620.770929
90	1619.533979
91	1617.811927
92	1616.835811
93	1615.754012
94	1614.785254
95	1614.043963
96	1613.189987
97	1611.997006
98	1610.501302
99	1609.515397
100	1608.282583
101	1607.389438
102	1606.358984
103	1604.841462
104	1604.05769
105	1602.700209
106	1600.821883
107	1600.055597
108	1599.052732
109	1598.266485
110	1596.526639
111	1595.401876
112	1594.436396
113	1593.482597
114	1592.232185
115	1591.349636
116	1589.982015
117	1588.946478
118	1588.330624
119	1586.891808
120	1586.142954
121	1584.949685
122	1583.686526
123	1582.045053
124	1581.422569
125	1580.484779
126	1578.93919
127	1577.964872
128	1577.020962
129	1575.831903
130	1575.030073
131	1573.787702
132	1573.368975
133	1572.581117
134	1571.482946
135	1570.357188
136	1569.189656
137	1568.383719
138	1567.606391
139	1567.26342
140	1566.279846
141	1565.454174
142	1564.496814
143	1563.118287
144	1562.674201
145	1561.779856
146	1560.633593
147	1559.691378
148	1558.685273
149	1558.230089
150	1557.306963
151	1556.543175
152	1555.445456
153	1554.397185
154	1553.63156
155	1552.54393
156	1551.814167
157	1550.683483
158	1550.128229
159	1549.475649
160	1549.029918
161	1548.660925
162	1547.655606
163	1546.723373
164	1546.085668
165	1545.546766
166	1544.5001
167	1543.974291
168	1543.285918
169	1542.68994
170	1542.121696
171	1541.181758
172	1540.45555
173	1539.950672
174	1539.018724
175	1538.63762
176	1537.989385
177	1537.396321
178	1536.662382
179	1536.358007
180	1535.710987
181	1535.208026
182	1534.853132
183	1534.168083
184	1533.57106
185	1533.11909
186	1532.694211
187	1531.812483
188	1530.993768
189	1529.959972
190	1529.242216
191	1528.672784
192	1528.291486
193	1528.066617
194	1527.198863
195	1526.06219
196	1525.763076
197	1525.139843
198	1524.480204
199	1524.030457
200	1523.478695
201	1522.832935
202	1522.440624
203	1521.52526
