iter	Passed	Remaining
0	252	252537
1	523	261351
2	762	253467
3	993	247500
4	1207	240203
5	1424	236072
6	1650	234147
7	1894	234920
8	2107	232092
9	2349	232556
10	2556	229893
11	2791	229796
12	3011	228649
13	3257	229395
14	3507	230330
15	3719	228745
16	3954	228638
17	4184	228285
18	4425	228481
19	4608	225840
20	4827	225053
21	5058	224883
22	5278	224214
23	5449	221614
24	5660	220772
25	5869	219880
26	6079	219097
27	6260	217345
28	6487	217233
29	6699	216616
30	6871	214782
31	7098	214717
32	7323	214612
33	7540	214251
34	7730	213144
35	7913	211909
36	8099	210809
37	8334	211004
38	8536	210344
39	8785	210862
40	8981	210089
41	9205	209977
42	9461	210580
43	9709	210956
44	9960	211389
45	10244	212456
46	10501	212936
47	10754	213291
48	10983	213170
49	11221	213207
50	11441	212906
51	11691	213151
52	11901	212655
53	12147	212799
54	12385	212797
55	12624	212817
56	12847	212540
57	13076	212386
58	13305	212219
59	13553	212334
60	13796	212380
61	14030	212260
62	14263	212135
63	14502	212097
64	14744	212093
65	14959	211704
66	15181	211405
67	15410	211213
68	15623	210804
69	15817	210151
70	16019	209603
71	16211	208950
72	16440	208769
73	16673	208645
74	16862	207970
75	17105	207970
76	17326	207697
77	17565	207633
78	17795	207462
79	18073	207841
80	18305	207684
81	18512	207253
82	18747	207127
83	18967	206833
84	19178	206446
85	19418	206381
86	19638	206095
87	19838	205597
88	20070	205438
89	20291	205172
90	20494	204716
91	20725	204551
92	20945	204275
93	21178	204121
94	21417	204030
95	21614	203540
96	21837	203289
97	22061	203054
98	22261	202601
99	22515	202640
100	22725	202277
101	22940	201967
102	23160	201700
103	23368	201330
104	23587	201052
105	23833	201008
106	24028	200541
107	24267	200433
108	24442	199803
109	24679	199683
110	24883	199294
111	25090	198929
112	25306	198641
113	25509	198261
114	25754	198195
115	25992	198080
116	26221	197892
117	26436	197600
118	26654	197334
119	26864	197004
120	27077	196706
121	27297	196455
122	27529	196287
123	27747	196022
124	27996	195974
125	28224	195778
126	28436	195472
127	28674	195346
128	28897	195112
129	29147	195066
130	29390	194966
131	29601	194653
132	29840	194522
133	30078	194390
134	30290	194085
135	30526	193934
136	30751	193709
137	30959	193382
138	31185	193168
139	31400	192891
140	31637	192742
141	31857	192492
142	32064	192161
143	32283	191908
144	32534	191838
145	32772	191694
146	32991	191437
147	33214	191209
148	33424	190899
149	33644	190650
150	33857	190364
151	34031	189862
152	34233	189514
153	34481	189421
154	34724	189305
155	34962	189154
156	35166	188825
157	35384	188568
158	35614	188376
159	35834	188130
160	36061	187924
161	36318	187871
162	36499	187426
163	36714	187154
164	36933	186907
165	37145	186621
166	37378	186444
167	37608	186253
168	37825	185994
169	38060	185824
170	38274	185552
171	38500	185341
172	38715	185071
173	38931	184814
174	39131	184476
175	39374	184344
176	39627	184258
177	39889	184210
178	40162	184207
179	40411	184097
180	40644	183912
181	40862	183658
182	41097	183480
183	41309	183198
184	41533	182971
185	41746	182696
186	42126	183149
187	42345	182898
188	42613	182854
189	42920	182975
190	43194	182954
191	43419	182725
192	43635	182455
193	43904	182406
194	44143	182234
195	44337	181872
196	44592	181763
197	44756	181285
198	44989	181088
199	45219	180877
200	45443	180643
201	45667	180411
202	45887	180158
203	46117	179949
204	46319	179630
205	46521	179312
206	46679	178824
207	46902	178591
208	47113	178309
209	47322	178021
210	47560	177843
211	47773	177573
212	47992	177325
213	48225	177128
214	48455	176918
215	48717	176827
216	48951	176630
217	49165	176365
218	49400	176173
219	49604	175870
220	49825	175628
221	50025	175314
222	50251	175091
223	50488	174906
224	50711	174672
225	50943	174470
226	51169	174247
227	51409	174071
228	51646	173885
229	51857	173611
230	52120	173508
231	52358	173325
232	52564	173035
233	52768	172737
234	53014	172579
235	53235	172339
236	53482	172182
237	53684	171880
238	53917	171679
239	54081	171259
240	54308	171038
241	54529	170800
242	54741	170533
243	54951	170260
244	55138	169917
245	55362	169688
246	55553	169358
247	55757	169072
248	56004	168912
249	56261	168783
250	56473	168519
251	56722	168365
252	56933	168099
253	57170	167909
254	57417	167748
255	57666	167593
256	57904	167403
257	58155	167252
258	58364	166980
259	58617	166835
260	58824	166556
261	59039	166301
262	59269	166088
263	59505	165894
264	59743	165704
265	59951	165430
266	60200	165269
267	60408	164996
268	60642	164793
269	60859	164546
270	61070	164282
271	61296	164058
272	61511	163804
273	61722	163541
274	61938	163291
275	62210	163190
276	62443	162984
277	62668	162758
278	62894	162533
279	63127	162328
280	63368	162141
281	63590	161907
282	63833	161727
283	64049	161477
284	64312	161345
285	64525	161088
286	64758	160881
287	64979	160644
288	65216	160446
289	65450	160241
290	65659	159974
291	65809	159564
292	66009	159279
293	66231	159044
294	66456	158820
295	66701	158641
296	66918	158396
297	67148	158183
298	67377	157965
299	67602	157740
300	67830	157519
301	68068	157324
302	68289	157088
303	68499	156828
304	68727	156609
305	68981	156447
306	69220	156253
307	69454	156046
308	69687	155837
309	69882	155544
310	70101	155305
311	70316	155057
312	70543	154834
313	70753	154576
314	70973	154339
315	71221	154163
316	71448	153940
317	71684	153738
318	71875	153439
319	72108	153230
320	72328	152993
321	72582	152829
322	72821	152632
323	73051	152416
324	73245	152124
325	73422	151800
326	73641	151561
327	73873	151351
328	74094	151116
329	74331	150915
330	74558	150694
331	74786	150473
332	74996	150218
333	75217	149984
334	75461	149797
335	75663	149525
336	75898	149320
337	76100	149049
338	76325	148823
339	76562	148621
340	76750	148325
341	76989	148126
342	77200	147873
343	77437	147671
344	77666	147454
345	77885	147216
346	78101	146974
347	78306	146712
348	78521	146468
349	78776	146298
350	79015	146100
351	79258	145906
352	79454	145629
353	79672	145390
354	79894	145160
355	80127	144950
356	80338	144699
357	80567	144481
358	80767	144212
359	80965	143939
360	81190	143714
361	81445	143541
362	81647	143276
363	81867	143043
364	82121	142868
365	82368	142682
366	82548	142378
367	82778	142162
368	82983	141904
369	83197	141660
370	83416	141425
371	83639	141198
372	83849	140948
373	84073	140722
374	84277	140462
375	84509	140249
376	84745	140043
377	84953	139790
378	85165	139545
379	85386	139315
380	85567	139019
381	85864	138911
382	86144	138775
383	86377	138564
384	86606	138345
385	86835	138126
386	87024	137845
387	87275	137660
388	87591	137579
389	87898	137481
390	88214	137397
391	88506	137275
392	88772	137112
393	89044	136956
394	89353	136857
395	89623	136697
396	89871	136504
397	90134	136334
398	90347	136086
399	90604	135906
400	90843	135698
401	91068	135469
402	91304	135258
403	91557	135069
404	91796	134860
405	92040	134660
406	92293	134471
407	92540	134275
408	92737	134004
409	92936	133737
410	93182	133539
411	93399	133298
412	93612	133052
413	93867	132865
414	94099	132646
415	94330	132425
416	94560	132203
417	94796	131988
418	95021	131759
419	95279	131575
420	95515	131362
421	95756	131154
422	95985	130930
423	96220	130714
424	96460	130505
425	96699	130294
426	96916	130053
427	97127	129805
428	97340	129559
429	97548	129308
430	97747	129044
431	97969	128811
432	98197	128586
433	98422	128357
434	98679	128169
435	98919	127959
436	99118	127697
437	99373	127506
438	99619	127303
439	99860	127095
440	100080	126859
441	100311	126637
442	100529	126399
443	100723	126131
444	100959	125915
445	101119	125605
446	101330	125359
447	101582	125164
448	101808	124937
449	102064	124745
450	102324	124559
451	102576	124362
452	102780	124107
453	103016	123891
454	103243	123665
455	103458	123424
456	103736	123258
457	103972	123041
458	104209	122826
459	104454	122620
460	104705	122421
461	104919	122178
462	105144	121949
463	105358	121707
464	105577	121470
465	105812	121253
466	106028	121013
467	106266	120799
468	106483	120559
469	106726	120350
470	106962	120134
471	107202	119920
472	107441	119707
473	107633	119441
474	107849	119202
475	108057	118953
476	108312	118757
477	108576	118570
478	108842	118385
479	109090	118180
480	109302	117937
481	109510	117689
482	109738	117463
483	109997	117270
484	110247	117066
485	110455	116818
486	110629	116535
487	110887	116340
488	111105	116104
489	111336	115881
490	111581	115672
491	111816	115452
492	112054	115236
493	112280	115008
494	112573	114847
495	112780	114599
496	113022	114386
497	113296	114206
498	113507	113962
499	113762	113762
500	113985	113530
501	114201	113291
502	114458	113093
503	114673	112852
504	114915	112639
505	115152	112421
506	115417	112230
507	115626	111984
508	115837	111740
509	116084	111532
510	116307	111300
511	116581	111116
512	116816	110896
513	117038	110662
514	117240	110410
515	117458	110174
516	117699	109958
517	117943	109747
518	118184	109530
519	118392	109285
520	118599	109038
521	118835	108818
522	119087	108613
523	119329	108398
524	119580	108191
525	119793	107950
526	120056	107754
527	120262	107507
528	120444	107238
529	120671	107010
530	120912	106795
531	121158	106583
532	121391	106360
533	121646	106156
534	121891	105943
535	122139	105732
536	122391	105525
537	122621	105299
538	122861	105081
539	123071	104838
540	123297	104609
541	123530	104385
542	123782	104177
543	124046	103980
544	124260	103740
545	124465	103493
546	124703	103273
547	124906	103024
548	125133	102796
549	125348	102558
550	125631	102374
551	125858	102146
552	126127	101951
553	126321	101695
554	126547	101466
555	126766	101231
556	126967	100981
557	127195	100753
558	127365	100479
559	127621	100274
560	127843	100041
561	128103	99838
562	128353	99628
563	128594	99410
564	128841	99196
565	129078	98975
566	129311	98750
567	129542	98525
568	129733	98268
569	129955	98036
570	130197	97819
571	130420	97587
572	130615	97334
573	130824	97092
574	131001	96827
575	131220	96592
576	131464	96376
577	131715	96165
578	131966	95954
579	132179	95716
580	132425	95501
581	132612	95244
582	132835	95012
583	133033	94763
584	133246	94525
585	133465	94291
586	133676	94051
587	133918	93833
588	134143	93604
589	134356	93366
590	134548	93114
591	134774	92885
592	134962	92630
593	135175	92392
594	135369	92142
595	135595	91913
596	135837	91696
597	136050	91458
598	136296	91243
599	136548	91032
600	136785	90810
601	137015	90584
602	137253	90364
603	137487	90140
604	137725	89920
605	137953	89692
606	138185	89467
607	138400	89231
608	138663	89027
609	138924	88820
610	139181	88611
611	139414	88387
612	139621	88145
613	139867	87929
614	140135	87727
615	140340	87485
616	140580	87264
617	140791	87026
618	141012	86794
619	141227	86558
620	141452	86329
621	141672	86096
622	141889	85862
623	142127	85641
624	142339	85403
625	142561	85172
626	142761	84928
627	142986	84698
628	143191	84458
629	143452	84249
630	143685	84025
631	143909	83795
632	144130	83563
633	144355	83334
634	144592	83112
635	144834	82892
636	145044	82655
637	145276	82429
638	145538	82221
639	145785	82004
640	146041	81792
641	146255	81556
642	146461	81317
643	146700	81095
644	146932	80869
645	147146	80634
646	147379	80409
647	147608	80182
648	147857	79966
649	148103	79747
650	148370	79540
651	148610	79319
652	148865	79106
653	149106	78885
654	149333	78656
655	149559	78427
656	149807	78210
657	150059	77994
658	150340	77793
659	150593	77578
660	150879	77380
661	151136	77166
662	151370	76941
663	151569	76697
664	151766	76453
665	152002	76229
666	152224	75998
667	152457	75772
668	152699	75551
669	152916	75316
670	153121	75077
671	153372	74860
672	153587	74625
673	153804	74392
674	154050	74172
675	154280	73944
676	154469	73698
677	154680	73461
678	154909	73233
679	155138	73006
680	155375	72782
681	155584	72545
682	155819	72320
683	156042	72089
684	156270	71861
685	156483	71626
686	156700	71393
687	156908	71156
688	157138	70929
689	157342	70690
690	157587	70469
691	157843	70253
692	158067	70023
693	158309	69802
694	158540	69575
695	158761	69344
696	158990	69116
697	159223	68890
698	159464	68667
699	159697	68441
700	159909	68206
701	160146	67982
702	160386	67759
703	160636	67540
704	160893	67324
705	161112	67092
706	161300	66847
707	161549	66627
708	161812	66413
709	162038	66184
710	162284	65963
711	162519	65738
712	162766	65517
713	163003	65292
714	163233	65065
715	163455	64834
716	163646	64591
717	163887	64368
718	164091	64130
719	164323	63903
720	164528	63666
721	164782	63448
722	164988	63211
723	165210	62980
724	165436	62751
725	165634	62512
726	165876	62289
727	166113	62064
728	166353	61840
729	166584	61613
730	166820	61388
731	167029	61152
732	167249	60921
733	167456	60685
734	167707	60466
735	167926	60234
736	168154	60006
737	168380	59777
738	168618	59552
739	168825	59316
740	169077	59097
741	169294	58865
742	169519	58636
743	169798	58425
744	170040	58201
745	170240	57963
746	170476	57738
747	170701	57509
748	170944	57285
749	171174	57058
750	171388	56825
751	171597	56590
752	171801	56354
753	172037	56128
754	172259	55898
755	172487	55670
756	172713	55441
757	172958	55218
758	173173	54986
759	173404	54759
760	173646	54535
761	173882	54309
762	174085	54073
763	174335	53852
764	174565	53624
765	174789	53395
766	175019	53167
767	175249	52939
768	175495	52717
769	175724	52489
770	175938	52256
771	176173	52030
772	176385	51797
773	176622	51572
774	176864	51347
775	177091	51119
776	177287	50881
777	177487	50645
778	177738	50423
779	177957	50193
780	178201	49969
781	178439	49743
782	178678	49518
783	178922	49294
784	179148	49066
785	179363	48834
786	179572	48600
787	179776	48366
788	179989	48134
789	180221	47906
790	180471	47684
791	180695	47455
792	180908	47223
793	181117	46990
794	181355	46764
795	181540	46525
796	181783	46301
797	182036	46079
798	182308	45862
799	182552	45638
800	182813	45417
801	183070	45196
802	183320	44973
803	183568	44750
804	183828	44529
805	184060	44302
806	184298	44076
807	184544	43852
808	184789	43627
809	185004	43396
810	185233	43167
811	185440	42934
812	185638	42699
813	185888	42475
814	186129	42250
815	186388	42028
816	186595	41795
817	186818	41566
818	187042	41336
819	187283	41111
820	187499	40879
821	187738	40653
822	187981	40428
823	188228	40204
824	188472	39978
825	188694	39749
826	188964	39529
827	189230	39308
828	189474	39083
829	189689	38851
830	189926	38625
831	190150	38395
832	190403	38172
833	190624	37941
834	190837	37710
835	191092	37487
836	191295	37253
837	191499	37020
838	191692	36784
839	191921	36556
840	192140	36326
841	192331	36090
842	192562	35862
843	192771	35630
844	192967	35396
845	193206	35170
846	193409	34936
847	193662	34713
848	193895	34485
849	194146	34261
850	194361	34030
851	194586	33801
852	194796	33569
853	195037	33343
854	195242	33111
855	195472	32883
856	195725	32658
857	195961	32431
858	196195	32204
859	196466	31982
860	196702	31755
861	196933	31527
862	197169	31300
863	197398	31071
864	197633	30844
865	197840	30612
866	198035	30379
867	198272	30151
868	198513	29925
869	198697	29690
870	198957	29466
871	199226	29244
872	199438	29013
873	199670	28785
874	199902	28557
875	200131	28329
876	200348	28099
877	200586	27871
878	200850	27648
879	201118	27425
880	201330	27194
881	201558	26965
882	201790	26737
883	202013	26508
884	202253	26281
885	202487	26053
886	202718	25825
887	202935	25595
888	203135	25363
889	203378	25136
890	203598	24907
891	203848	24681
892	204074	24452
893	204293	24222
894	204496	23991
895	204711	23761
896	204954	23534
897	205183	23305
898	205400	23076
899	205628	22847
900	205858	22619
901	206077	22389
902	206323	22163
903	206525	21931
904	206758	21703
905	206946	21471
906	207154	21240
907	207348	21008
908	207603	20783
909	207867	20558
910	208099	20330
911	208343	20103
912	208559	19873
913	208801	19646
914	209068	19421
915	209329	19196
916	209576	18969
917	209783	18738
918	209997	18508
919	210220	18280
920	210432	18050
921	210659	17821
922	210902	17594
923	211149	17367
924	211372	17138
925	211603	16909
926	211838	16682
927	212099	16456
928	212325	16227
929	212609	16002
930	212931	15781
931	213196	15555
932	213433	15326
933	213662	15098
934	213891	14869
935	214072	14637
936	214281	14407
937	214530	14180
938	214735	13949
939	214968	13721
940	215205	13493
941	215429	13264
942	215630	13033
943	215829	12803
944	216031	12573
945	216236	12343
946	216435	12113
947	216656	11884
948	216867	11654
949	217073	11424
950	217278	11195
951	217493	10966
952	217700	10736
953	217901	10506
954	218118	10277
955	218377	10050
956	218610	9822
957	218840	9594
958	219069	9365
959	219319	9138
960	219538	8909
961	219745	8680
962	219981	8452
963	220179	8222
964	220417	7994
965	220632	7765
966	220874	7537
967	221115	7309
968	221311	7080
969	221526	6851
970	221783	6623
971	222025	6395
972	222237	6166
973	222431	5937
974	222630	5708
975	222821	5479
976	223051	5250
977	223264	5022
978	223488	4793
979	223716	4565
980	223950	4337
981	224137	4108
982	224357	3880
983	224572	3651
984	224814	3423
985	225016	3194
986	225210	2966
987	225410	2737
988	225611	2509
989	225822	2281
990	226021	2052
991	226277	1824
992	226519	1596
993	226748	1368
994	226974	1140
995	227178	912
996	227432	684
997	227672	456
998	227896	228
999	228143	0
